article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Profit Contribution,Adonis Seven Spices 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,3.836
Profit Contribution,Adonis Sumac 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,5.375
Profit Contribution,Adonis Turmeric 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,1.429
Profit Contribution,Adonis White Pepper 1 kg,Food,Condiments,Spices,Kilogram,Kilogram,1.905
Profit Contribution,Adonis White Sesame 1.5  kg,Food,Condiments,Other Condiments,Kilogram,Kilogram,1.429
Profit Contribution,AKAWI CHEESE ,Food,Dairy,Cheese,Kilogram,Kilogram,2
Profit Contribution,Al Ain Water 1.500 Ml Bottle,Beverage,POS Beverage,Bottled Water,Each,Each,0.133
Profit Contribution,Al Ain Water 330 Ml Bottle,Beverage,POS Beverage,Bottled Water,Each,Each,0.081
Profit Contribution,Al Ain Water 500 Ml,Beverage,POS Beverage,Bottled Water,Each,Each,0.071
Profit Contribution,Al Alali Lasagnia,Food,Pasta & Grain,Pasta,Kilogram,Kilogram,2.229
Profit Contribution,Al Areesq Date for Date Cake 1 KG,Food,Condiments,Baking Items,Kilogram,Kilogram,1.15
Profit Contribution,AL DAYAA HOT PEPPER PICKLE  3KG,Food,Canned Foods,Pickles,Kilogram,Kilogram,0
Profit Contribution,AL DAYAA JALLAB SYRUP 600ML X 12,Food,Condiments,Syrups,Liter,Liter,2.5
Profit Contribution,Al Dayaa Lemon Flower ,Food,Condiments,Baking Items,Kilogram,Kilogram,8
Profit Contribution,AL DAYAA Rose water 600ml,Food,Condiments,Syrups,Liter,Liter,0.317
Profit Contribution,AL DAYAA SLICED TURNIP PICKLE  1*10 KG,Food,Canned Foods,Pickles,Kilogram,Kilogram,0.786
Profit Contribution,AL DAYAA TAMARIND SYRUP 600ML X 12,Food,Condiments,Syrups,Liter,Liter,1.2
Profit Contribution,Al Karama Kunafa Shredd 500 g,Food,Condiments,Baking Items,Kilogram,Kilogram,1.429
Profit Contribution,AL Madina Chicken Breast,Food,Frozen,Frozen Chicken,Kilogram,Kilogram,1.476
Profit Contribution,Al Madina Chicken Thigh B/L ,Food,Frozen,Frozen Chicken,Kilogram,Kilogram,1.46
Expenses,Al Manhal Water Gallons,General,Others,Others,Liter,Liter,0.04
Profit Contribution,AL Marai Long life milk,Food,Dairy,Milk,Liter,Liter,0.317
Profit Contribution,AL Moroj Fresh labna 7 Kg (Dont Use ),Food,Dairy,Milk,Kilogram,Kilogram,2.357
Profit Contribution,Al Moroj Nabulsy Cheese 4 kg,Food,Dairy,Cheese,Kilogram,Kilogram,3.5
Profit Contribution,All Purpose Flour,Food,Consumables,Dough,Kilogram,Kilogram,0.1
Profit Contribution,ALMOND FLAKES 1KG,Food,Condiments,Nuts,Kilogram,Kilogram,5.4
Profit Contribution,ALMOND SLICED 1 KG,Food,Condiments,Nuts,Kilogram,Kilogram,5
Profit Contribution,ALMOND WHOLE 1 KG,Food,Condiments,Nuts,Kilogram,Kilogram,6
Expenses,ALU Ovel Tray  ( Small ) ( DONT USE ),General,Packaging,Packaging,Each,Each,0.09
Expenses,ALU Tray ( 7175 ) Round Big,General,Packaging,Packaging,Each,Each,0.73
Expenses,ALum Oval Tray Med - ov2,General,Packaging,Packaging,Each,Each,0.051
Expenses,ALum Oval Tray Small - ov1 6036 G,General,Packaging,Packaging,Each,Each,0.049
Expenses,ALuminium Container 1230 BIG,General,Packaging,Packaging,Each,Each,0.298
Expenses,ALuminium Container 3180 CODE 533,General,Packaging,Packaging,Each,Each,0.029
Expenses,ALuminium Container 5105 -5080 G,General,Packaging,Packaging,Each,Each,0.028
Expenses,ALuminium Container 5130L,General,Packaging,Packaging,Each,Each,0.1
Expenses,ALuminium Container 8342,General,Packaging,Packaging,Each,Each,0.014
Expenses,ALuminium Container 8389 (107),General,Packaging,Packaging,Each,Each,0.019
Expenses,ALuminium Foil 45*2000 G,General,Packaging,Packaging,Each,Each,2.45
Expenses,aluminum tray ( BBQ ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,Aluminum Tray 18x4,Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,aluminum tray big ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,Aluminum Tray Kunafa 17x2,Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Profit Contribution,Am Heat Menthol Fuel Jel ,Food,Condiments,Other Condiments,Each,Each,0.132
Profit Contribution,American Garden Worcestershire,Food,Condiments,Vineger,Liter,Liter,2.55
Profit Contribution,AMPALAYA,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0.5
Expenses,Amplifier (Recieption Area),Assets,Dining Assets,Dining Assets,Each,Each,0
Profit Contribution,Anchelot Onion,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0
Profit Contribution,Anchovy,Food,Condiments,Dry Food,Kilogram,Kilogram,19.9
Profit Contribution,andeve red  ,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0
Profit Contribution,andeve white,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0
Profit Contribution,Anees Loose 1 Kg,Food,Condiments,Spices,Kilogram,Kilogram,3.5
